"id","tag_number","before_weight","after_weight","difference","adjustment","final_weight","product_number","created_at","updated_at","product_type","barcode_weight","lot_id"
"1","D55","8.19","8.42","0.23","0.23","0.21","D550021__0.46","2024-11-27 06:36:13.302","2024-11-27 07:15:37.805","sold","8.400","2"
"2","D55","11.8","12.19","0.39","0.39","0.35","D550035__0.07","2024-11-27 06:36:51.301","2024-11-27 08:13:08.873","sold","32.12","2"
"3","D55","9.41","9.69","0.28","0.28","0.25","D550025__0.61","2024-11-27 06:37:08.812","2024-11-29 08:08:24.038","active","9.720","2"
"4","D55","13.51","14.01","0.5","0.5","0.45","D550045__823.6048652474743","2024-11-27 06:37:37.300","2024-11-30 07:14:49.497","active","14.600","2"
"5","D55","13.68","14.19","0.51","0.51","0.46","D550046__0.92","2024-11-27 06:37:49.021","2024-11-27 06:37:49.019","active","","2"
"6","D55","13.75","14.32","0.57","0.57","0.51","D550051__0.95","2024-11-27 06:38:00.796","2024-11-27 06:38:00.795","active","","2"
"7","D55","13.3","13.64","0.34","0.34","0.31","D550031__0.75","2024-11-27 06:38:13.340","2024-11-27 06:38:13.339","active","","2"
"8","D55","13.89","14.44","0.55","0.55","0.5","D550050__0.38","2024-11-27 06:38:26.216","2024-11-27 06:38:26.214","active","","2"
"9","D55","7.7","7.9","0.2","0.2","0.18","D550018__0.94","2024-11-27 06:38:36.812","2024-11-27 06:38:36.810","active","","2"
"10","D55","10.71","11.24","0.53","0.53","0.48","D550048__0.64","2024-11-27 06:38:47.732","2024-11-27 06:38:47.730","active","","2"
"11","D55","13.9","14.46","0.56","0.56","0.5","D550050__0.88","2024-11-27 06:38:58.020","2024-11-27 06:38:58.018","active","","2"
"12","D55","13.74","14.29","0.55","0.55","0.5","D550050__0.42","2024-11-27 06:39:16.772","2024-11-27 06:39:16.770","active","","2"
"13","D55","13.7","14.43","0.73","0.73","0.66","D550066__0.73","2024-11-27 06:39:35.540","2024-11-27 06:39:35.539","active","","2"
"14","D55","10.2","10.52","0.32","0.32","0.29","D550029__0.22","2024-11-27 06:39:46.980","2024-11-27 06:39:46.978","active","","2"
"15","D55","8.21","8.42","0.21","0.21","0.19","D550019__0.97","2024-11-27 06:39:59.212","2024-11-27 06:39:59.210","active","","2"
"16","D55","12.24","12.7","0.46","0.46","0.41","D550041__0.52","2024-11-27 06:40:10.140","2024-11-27 06:40:10.139","active","","2"
"17","D55","13.48","14.15","0.67","0.67","0.6","D550060__0.56","2024-11-27 06:40:27.204","2024-11-27 06:40:27.202","active","","2"
"18","D55","11.2","11.64","0.44","0.44","0.4","D550040__0.98","2024-11-27 06:40:45.188","2024-11-27 06:40:45.186","active","","2"
"19","D55","11.25","11.63","0.38","0.38","0.34","D550034__0.39","2024-11-27 06:41:28.276","2024-11-27 06:41:28.275","active","","2"
"20","D55","7.98","8.25","0.27","0.27","0.24","D550024__0.26","2024-11-27 06:41:38.876","2024-11-27 06:41:38.874","active","","2"
